,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
"Water, sewage and other systems",43306,1000,1781102.785,562.0072839,-29.08499968,460.9699488,993.892233,2715.227953,3367.03326,326.3870734,2861.458611,266.7256438,30.93641723,19.43000719,4.09277947,5.292684544,1.388222489,0.107831998,0.62489154,19.94611011,4.6372511,6.933950991,15.65394,3.106931203,2.953170679,2.288234425,9.297336462,5.601725094,1.452744562,1.542359745,0.474346928,0.032266379,0.193893753,5.946486387,1.434969941,0.000466838,0.00034867
Nonresidential commercial and health care structures,129239,1000,589005.9704,728.0222095,33.37927362,232.1469485,993.5484316,1875.822309,938.291856,351.5822598,644.6036058,54.46324545,16.30949655,9.484420023,2.868003196,2.779868821,0.777973174,0.064363959,0.334867376,10.29596749,2.576312218,9.811004885,4.120155331,0.688565046,1.598863277,0.090867669,7.615316952,3.951098248,1.738214882,1.307133876,0.425587295,0.031548354,0.161734298,4.742000056,1.255772024,0.001317279,0.000589035
Nonresidential manufacturing structures,23466,1000,437267.2725,741.6378081,27.06940051,225.2571553,993.9643639,1434.451815,784.9019127,315.4248813,709.8017772,25.3442705,15.09577255,8.495576776,2.847202896,2.599012959,0.779940253,0.058949893,0.315089771,9.489812457,2.415621029,9.801917662,3.431861423,0.830747909,0.953440953,0.07777118,8.531586761,4.368282592,1.988510033,1.44216286,0.514061273,0.034337651,0.184232353,5.311555386,1.408414457,0.001618703,0.00063482
Other nonresidential structures,292328,1000,612027.7331,713.9384283,32.4508103,247.174704,993.5639426,1563.587598,955.5500113,653.325597,597.7617196,57.92336242,24.54569191,14.16182584,4.67775181,3.772473738,1.297719096,0.101814399,0.534107026,15.56104082,3.837273944,18.10506865,4.185692476,0.602489323,1.555042389,0.097334988,15.16527142,8.242661443,3.408760676,2.200716261,0.901543409,0.066125121,0.345464515,9.565606085,2.412644819,0.002140805,0.000763706
Residential permanent site single- and multi-family structures,304951,1000,659273.672,639.017139,46.69453172,307.7260502,993.4377209,2096.037106,1236.695868,526.470421,832.1206459,100.1215209,23.41728659,13.00703051,4.938779588,3.380942714,1.484893601,0.091605939,0.514034237,14.78548425,3.659262546,14.49399935,5.366996506,0.913170294,2.505327411,0.137722351,9.627862933,4.253434433,3.083582666,1.111284456,0.905355381,0.038221629,0.235984368,5.972801844,1.567955678,0.00275336,0.000755294
Other residential structures,133484,1000,580354.0466,618.7055833,43.86211541,330.9422137,993.5099125,2371.453525,1187.708907,516.9520148,810.9300655,101.1923412,20.36386814,12.10288581,3.481547547,3.269816525,0.995684397,0.083904867,0.430028998,12.97311878,3.141804256,12.64802309,4.891650852,0.790349765,1.888210225,0.145574792,8.669653424,4.696499715,1.918926522,1.314248683,0.506875803,0.038923182,0.194179518,5.503630014,1.363864061,0.001276749,0.00050834
Nonresidential maintenance and repair,101517,1000,623907.7641,727.3656871,35.61784169,231.5182951,994.5018239,1547.942273,914.6598313,583.8033414,874.5650431,66.10769427,27.19222739,14.45790722,5.734485838,4.486779133,1.817091856,0.102857419,0.593105932,17.09584124,4.414403789,20.65209589,3.902695875,0.917492955,1.626491005,0.093371938,17.68445047,8.428341855,4.462935274,2.898646329,1.425366459,0.066385762,0.402774793,11.0275816,2.967885408,0.004108798,0.001284021
Residential maintenance and repair,47379,1000,697727.8673,464.9316271,43.73272639,485.2408362,993.9051897,1994.161912,1208.336134,399.9591987,732.9158681,116.7311196,17.76001723,10.6125229,3.06738364,2.702610471,0.934218533,0.069574976,0.373706712,11.28678297,2.728203026,8.605941602,5.302610708,0.840267148,2.884873293,0.12627115,3.689082077,1.633202304,1.178215498,0.426624922,0.346012832,0.014659961,0.09036656,2.288874147,0.600564733,0.001032785,0.000430597
Dog and cat food manufacturing,9882,1000,1534120.953,431.4167573,13.56408919,533.9770755,978.957922,3230.446246,2295.920712,1898.937432,1904.65449,3951.722748,33.10286484,21.84312704,4.000059371,5.155206854,1.280197021,0.145943286,0.678331268,21.15449258,4.999341256,20.38419368,8.803166242,1.485531062,2.091426922,0.338393533,3.08974375,1.898169524,0.481351568,0.414601891,0.212233418,0.010062958,0.073324391,2.033968394,0.450165797,-0.000985851,0.00055158
Other animal food manufacturing,17363,1000,2128847.998,485.5931009,-4.021152058,493.6744724,975.2464213,4729.804734,2902.164104,3316.879375,2445.562034,6217.675859,48.15266301,32.2911173,5.593151389,7.285091404,1.772756696,0.224196154,0.986350058,30.76752522,7.248899019,33.48724739,10.14720565,1.49612946,2.547008426,0.474792515,4.05870778,2.493231202,0.631429135,0.546652763,0.277938088,0.01324792,0.096208672,2.671708674,0.59128715,-0.002164132,0.000752401
